author                               ,area_of_interest        ,categories                                                                                     ,tags                                                                                                                                                                               ,title                                                                                                                     ,sub_title                                                                                                                 ,abstract                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,date_published      ,link
Ludovica Serafini                    ,carbon-pricing          ,"human-rights,2050-climate-strategies"                                                         ,                                                                                                                                                                                   ,COP24: Real facts or just dreams                                                                                          ,COP24: Real facts or just dreams                                                                                          ,all                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2018-12-05 00:00:00 ,https://carbonmarketwatch.org/2018/12/05/cop24-real-facts-or-just-dreams/
ECO - COP24                          ,carbon-pricing          ,global-markets                                                                                 ,                                                                                                                                                                                   ,OMG(E)! Article 6 is Going Above and Beyond Offsetting! – ECO                                                             ,OMG(E)! Article 6 is Going Above and Beyond Offsetting! – ECO                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/12/12/omge-article-6-is-going-above-and-beyond-offsetting-eco/
15 Dec 2018                          ,climate-governance      ,"human-rights,sustainable-development,global-markets"                                          ,                                                                                                                                                                                   ,COP24 overshadowed by market failure as countries fail to agree on basic accounting principles and the future of the CDM  ,COP24 overshadowed by market failure as countries fail to agree on basic accounting principles and the future of the CDM  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/12/15/cop24-overshadowed-by-market-failure-as-countries-fail-to-agree-on-basic-accounting-principles-and-the-future-of-the-cdm/
Gilles Dufrasne                      ,carbon-pricing          ,2050-climate-strategies                                                                        ,                                                                                                                                                                                   ,Davos: Global leaders must fight inequality through carbon pricing                                                        ,Davos: Global leaders must fight inequality through carbon pricing                                                        ,share                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,2019-01-21 00:00:00 ,https://carbonmarketwatch.org/2019/01/21/davos-global-leaders-must-fight-inequality-through-carbon-pricing/
Gilles Dufrasne                      ,carbon-pricing          ,global-markets                                                                                 ,                                                                                                                                                                                   ,What does the current standstill in carbon market talks mean for the future?                                              ,What does the current standstill in carbon market talks mean for the future?                                              ,can                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2019-01-25 00:00:00 ,https://carbonmarketwatch.org/2019/01/25/what-does-the-current-standstill-in-international-carbon-market-talks-mean-for-the-future/
31 Jan 2019                          ,climate-governance      ,national-energy-and-climate-plans-necps                                                        ,national-energy-and-climate-plans                                                                                                                                                  ,Launch of LIFE project ‘PlanUp’ points new spotlight on EU National Energy & Climate Plans                                ,Launch of LIFE project ‘PlanUp’ points new spotlight on EU National Energy & Climate Plans                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2019/01/31/launch-of-life-project-planup-points-new-spotlight-on-eu-national-energy-climate-plans/
31 Jan 2019                          ,                        ,2050-climate-strategies                                                                        ,                                                                                                                                                                                   ,Change of leadership at Carbon Market Watch – January 2019                                                                ,Change of leadership at Carbon Market Watch – January 2019                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2019/01/31/change-of-leadership-at-carbon-market-watch-january-2019/
Gilles Dufrasne                      ,carbon-pricing          ,"human-rights,sustainable-development,global-markets"                                          ,clean-development-mechanism                                                                                                                                                        ,UN market negotiations: Will we learn from the past?                                                                      ,UN market negotiations: Will we learn from the past?                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/09/14/un-market-negotiations-will-we-learn-from-the-past/
Gilles Dufrasne                      ,climate-governance      ,eu-carbon-market                                                                               ,                                                                                                                                                                                   ,"Deutschland: Kohleausstieg muss mit Annullierung von Emissionslizenzen einher gehen, um den CO2 Preis zu stützen"        ,"Deutschland: Kohleausstieg muss mit Annullierung von Emissionslizenzen einher gehen, um den CO2 Preis zu stützen"        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2019/02/18/deutschland-annullierung-von-emissionslizenzen-und-kohleausstieg-mussen-hand-in-hand-gehen/
CAN International                    ,carbon-pricing          ,"sustainable-development,global-markets"                                                       ,"clean-development-mechanism,paris-agreement,sustainable-development-mechanism"                                                                                                    ,The New Article 6: We Know What We Need (ECO: UNFCCC SB48)                                                                ,The New Article 6: We Know What We Need (ECO: UNFCCC SB48)                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/09/06/the-new-article-6-we-know-what-we-need-eco-unfccc-sb48/
Gilles Dufrasne                      ,climate-governance      ,eu-carbon-market                                                                               ,                                                                                                                                                                                   ,Germany: Coal phase-out must go hand-in-hand with emission permit cancellation to keep CO2 prices up                      ,Germany: Coal phase-out must go hand-in-hand with emission permit cancellation to keep CO2 prices up                      ,people                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,2019-02-05 00:00:00 ,https://carbonmarketwatch.org/2019/02/05/germany-emission-permit-cancellation-and-coal-phase-out-must-go-hand-in-hand/
Femke de Jong                        ,carbon-pricing          ,"eu-carbon-market,global-markets"                                                              ,                                                                                                                                                                                   ,GCAS: Effective carbon pricing can no longer be hampered by bad policy                                                    ,GCAS: Effective carbon pricing can no longer be hampered by bad policy                                                    ,screwing up their carbon market by giving away too many allowances                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,2018-09-26 00:00:00 ,https://carbonmarketwatch.org/2018/09/26/gcas-effective-carbon-pricing-can-no-longer-be-hampered-by-bad-policy/
Gilles Dufrasne                      ,international-transport ,"2050-climate-strategies,aviation,shipping"                                                    ,"ipcc,carbon-budget"                                                                                                                                                               ,"New IPCC report shows 1.5C° is still possible, but more needed from aviation and shipping"                               ,"New IPCC report shows 1.5C° is still possible, but more needed from aviation and shipping"                               ,remaining carbon budget                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,2018-10-08 00:00:00 ,https://carbonmarketwatch.org/2018/10/08/new-ipcc-report-shows-1-5c-is-still-possible-but-more-needed-from-aviation-and-shipping/
Femke de Jong                        ,carbon-pricing          ,2050-climate-strategies                                                                        ,eu-industry                                                                                                                                                                        ,Waste gases from steel worse for the climate than coal                                                                    ,Waste gases from steel worse for the climate than coal                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/10/09/waste-gases-from-steel-worse-for-the-climate-than-coal/
Agnese Ruggiero                      ,climate-governance      ,"national-energy-and-climate-plans-necps,2050-climate-strategies"                              ,                                                                                                                                                                                   ,National Energy and Climate Plans: a strong tool to implement the Paris Agreement but only if participative and ambitious ,National Energy and Climate Plans: a strong tool to implement the Paris Agreement but only if participative and ambitious ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/10/25/national-energy-and-climate-plans-a-strong-tool-to-implement-the-paris-agreement-but-only-if-participative-and-ambitious/
15 Nov 2018                          ,carbon-pricing          ,global-markets                                                                                 ,                                                                                                                                                                                   ,TAKE ACTION to end the CDM!                                                                                               ,TAKE ACTION to end the CDM!                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/11/15/take-action-to-end-the-cdm/
28 Nov 2018                          ,climate-governance      ,"2050-climate-strategies,eu-carbon-market"                                                     ,                                                                                                                                                                                   ,EU’s Long Term Strategy offers hope for net-zero carbon future                                                            ,EU’s Long Term Strategy offers hope for net-zero carbon future                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/11/28/eus-long-term-strategy-offers-hope-for-net-zero-carbon-future/
Agnese Ruggiero - Policy Officer     ,climate-governance      ,2050-climate-strategies                                                                        ,horizon-europe                                                                                                                                                                     ,Making Horizon Europe a tool to truly achieve the Paris Agreement goals – OpEd                                            ,Making Horizon Europe a tool to truly achieve the Paris Agreement goals – OpEd                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/11/30/making-horizon-europe-a-tool-to-truly-achieve-the-paris-agreement-goals-oped/
15 Nov 2018                          ,carbon-pricing          ,global-markets                                                                                 ,                                                                                                                                                                                   ,END THE CDM                                                                                                               ,END THE CDM                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/11/15/end-the-cdm/
13 Jun 2018                          ,international-transport ,aviation                                                                                       ,                                                                                                                                                                                   ,CORSIA CHALLENGE – Quiz                                                                                                   ,CORSIA CHALLENGE – Quiz                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/06/13/29997/
Gilles Dufrasne                      ,carbon-pricing          ,global-markets                                                                                 ,"carbon-pricing,offsetting"                                                                                                                                                        ,An elephant in the room                                                                                                   ,An elephant in the room                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/06/19/an-elephant-in-the-room/
Guest: Soumya Dutta                  ,fair-climate-action     ,"human-rights,sustainable-development,global-markets"                                          ,"clean-development-mechanism,india"                                                                                                                                                ,"Sham consultations, ruthless exploitation: CDM project experience in India"                                              ,"Sham consultations, ruthless exploitation: CDM project experience in India"                                              ,"India hosts a big share of climate mitigation projects under the UN’s Clean Development Mechanism (CDM). Many of these projects have blatantly violated the rights of affected communities and stakeholder consultations are carried out rarely if ever, writes Soumya Dutta."                                                                                                                                                                                                                                                                                                                ,2018-06-12 00:00:00 ,https://carbonmarketwatch.org/2018/06/12/sham-consultations-ruthless-exploitation-cdm-project-experience-in-india/
Miriam Vicente                       ,                        ,"human-rights,sustainable-development,global-markets,aviation"                                 ,                                                                                                                                                                                   ,WatchThis! – New scheme could breathe life back into the CDM (June 2018)                                                  ,WatchThis! – New scheme could breathe life back into the CDM (June 2018)                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/06/21/watchthis-june-2018-edition/
28 Jun 2018                          ,international-transport ,aviation                                                                                       ,"international-civil-aviation-organisation,offsetting"                                                                                                                             ,UN aviation body delays decision on key rules for airline offset scheme                                                   ,UN aviation body delays decision on key rules for airline offset scheme                                                   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/06/28/un-aviation-body-delays-decision-on-key-rules-for-airline-offset-scheme/
2 Jul 2018                           ,                        ,2050-climate-strategies                                                                        ,                                                                                                                                                                                   ,Become Executive Director of Carbon Market Watch                                                                          ,Become Executive Director of Carbon Market Watch                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/07/02/become-executive-director-of-carbon-market-watch/
Kelsey Perlman                       ,international-transport ,aviation                                                                                       ,                                                                                                                                                                                   ,Deciphering ICAO negotiations for a climate audience                                                                      ,Deciphering ICAO negotiations for a climate audience                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/07/12/deciphering-icao-negotiations-for-a-climate-audience/
Gilles Dufrasne                      ,fair-climate-action     ,"human-rights,sustainable-development,climate-finance"                                         ,                                                                                                                                                                                   ,Green finance must be people-friendly                                                                                     ,Green finance must be people-friendly                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/07/24/green-finance-must-be-people-friendly/
Femke de Jong                        ,carbon-pricing          ,global-markets                                                                                 ,carbon-pricing                                                                                                                                                                     ,Head of IMF urges countries to adopt higher carbon prices                                                                 ,Head of IMF urges countries to adopt higher carbon prices                                                                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/04/26/head-of-imf-urges-countries-to-adopt-higher-carbon-prices/
Femke de Jong                        ,carbon-pricing          ,eu-carbon-market                                                                               ,                                                                                                                                                                                   ,Netherlands fits its new price floor                                                                                      ,Netherlands fits its new price floor                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/08/21/netherlands-fits-its-new-price-floor/
Gilles Dufrasne                      ,carbon-pricing          ,"sustainable-development,global-markets"                                                       ,clean-development-mechanism                                                                                                                                                        ,Withdrawn UN advert shows why carbon offset scheme should be scrapped                                                     ,Withdrawn UN advert shows why carbon offset scheme should be scrapped                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/08/31/withdrawn-un-advert-shows-why-carbon-offset-scheme-should-be-scrapped/
"Gilles Dufrasne, Kelsey Perlman"    ,carbon-pricing          ,global-markets                                                                                 ,carbon-markets                                                                                                                                                                     ,UN carbon markets – what to expect from Bonn?                                                                             ,UN carbon markets – what to expect from Bonn?                                                                             ,"On Earth Day 22 April 2016, world leaders were in New York to sign the Paris Climate Change Agreement. Two years on, governments are working on the rulebook to put the historic deal into practice. Ahead of the Bonn Climate Change Conference, we take a look at the Paris Agreement market provisions and lay out steps to ensure that they increase – and not undermine – climate ambition."                                                                                                                                                                                             ,2018-04-26 00:00:00 ,https://carbonmarketwatch.org/2018/04/26/un-carbon-markets-what-to-expect-from-bonn/
27 Apr 2018                          ,                        ,"effort-sharing-regulation,global-markets,shipping"                                            ,"united-nations-framework-convention-for-climate-change,carbon-markets,emissions-from-shipping"                                                                                    ,Carbon Market Watch Newsletter – April 2018                                                                               ,Carbon Market Watch Newsletter – April 2018                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/04/27/carbon-market-watch-newsletter-april-2018/
Femke de Jong                        ,carbon-pricing          ,eu-carbon-market                                                                               ,"eu-emissions-trading-system,eu-budget"                                                                                                                                            ,Polluters should pay into the EU budget – but how?                                                                        ,Polluters should pay into the EU budget – but how?                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/05/07/polluters-should-pay-into-the-eu-budget-but-how/
"Gilles Dufrasne, Eva Filzmoser"     ,fair-climate-action     ,"sustainable-development,global-markets,climate-finance"                                       ,"international-climate-negotiations-unfccc,article-6"                                                                                                                              ,The road ahead for UN carbon markets                                                                                      ,The road ahead for UN carbon markets                                                                                      ,"Another round of UN climate talks closed on May 10th in Bonn, where negotiators discussed the “Paris Agreement rulebook”, a set of rules to regulate how commitments put forward in Paris can be implemented starting in 2020. The rulebook is to be finalised by the UN climate change conference (COP24) in December this year in Katowice, Poland. While the negotiations on the Paris Agreement market provisions were dominated by discussions around the process, some key contentious issues need to be sorted out at the next session in Bangkok before the rulebook can be adopted." ,2018-05-16 00:00:00 ,https://carbonmarketwatch.org/2018/05/16/the-road-ahead-for-un-carbon-markets/
Femke de Jong                        ,carbon-pricing          ,eu-carbon-market                                                                               ,eu-emissions-trading-system                                                                                                                                                        ,Big polluters continue to get a free pass on Europe’s carbon market                                                       ,Big polluters continue to get a free pass on Europe’s carbon market                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2018/05/22/big-polluters-continue-to-get-a-free-pass-on-europes-carbon-market/
Gilles Dufrasne                      ,fair-climate-action     ,"human-rights,sustainable-development,global-markets"                                          ,"clean-development-mechanism,human-rights-in-climate-action"                                                                                                                       ,Learning from Barro Blanco: how to improve public participation in climate projects                                       ,Learning from Barro Blanco: how to improve public participation in climate projects                                       ,"As negotiations on the Paris Agreement rules approach the finish line, it will be important to ensure that future climate mitigation projects respect human rights and the environment."                                                                                                                                                                                                                                                                                                                                                                                                      ,2018-05-24 00:00:00 ,https://carbonmarketwatch.org/2018/05/24/learning-from-barro-blanco-how-to-improve-stakeholder-consultations-in-climate-projects/
