title,tags,dates,text
"NA Markets: CCA prices rise after coronavirus-fuelled meltdown, as RGGI recovers","Americas,Canada,US","Published 21:44 on April 2, 2020  /  Last updated at 21:44 on April 2, 2020  /  ","California Carbon Allowance (CCA) prices rose week-on-week for the first time since permits plummeted below the current WCI floor price amid a speculator-led selloff, while RGGI allowance (RGA) prices recovered nearly all of their previous losses seen over the COVID-19 pandemic."
Utah GOP approves budget with funding for California ETS lawsuit,"Americas,Canada,US","Published 22:10 on April 1, 2020  /  Last updated at 23:40 on April 1, 2020  /  ","Utah Republicans have passed a budget that restores funding for a lawsuit to challenge the legality of California’s cap-and-trade programme and emissions performance standard (EPS), a government spokesperson confirmed."
LCFS Market: Credit rally peters out at $200,"Americas,RINs & LCFS,US","Published 16:40 on April 1, 2020  /  Last updated at 21:43 on April 1, 2020  /  ","California Low Carbon Fuel Standard (LCFS) prices returned to a two-week high in recent days, but increased demand that picked credit values off a two-year low finally left the market."
"California fuel consumption dips in 2019, likely cutting ETS obligations","Americas,Canada,US","Published 15:43 on April 1, 2020  /  Last updated at 15:43 on April 1, 2020  /  ","California fuel consumption fell slightly year-on-year in 2019 as gasoline demand slid, likely reducing WCI-covered emissions compared to the prior year, state data published this week suggested."
Carbon consultancy offering ‘Corona Credits’ to offset emissions reduced by global virus lockdown,"Africa,Americas,Asia Pacific,Australia,Aviation/CORSIA,Bavardage,Canada,Carbon Taxes,China,China's Offset Market,Climate Talks,EMEA,EU ETS,International,Japan,Kyoto Mechanisms,Mexico,Middle East,New Market Mechanisms,New Zealand,Other APAC,REDD,RINs & LCFS,Shipping,South & Central,South Korea,Switzerland,US,Voluntary Market","Published 08:05 on April 1, 2020  /  Last updated at 08:26 on April 1, 2020  /  ","*FREE READ* – A new carbon consultancy is calculating the global greenhouse gas emissions being saved by people working from home due to the coronavirus outbreak, and it is packaging and selling the reductions as voluntary carbon offsets."
Massachusetts generators achieve compliance with in-state ETS for 2019,"Americas,US","Published 21:35 on March 31, 2020  /  Last updated at 22:28 on March 31, 2020  /  ","Massachusetts power plants complied with the state’s annual CO2 limit under the Global Warming Solutions Act (GWSA) cap-and-trade programme, an official confirmed to Carbon Pulse."
"TCI carbon market plans advancing during COVID-19 outbreak, but delays may be coming","Americas,US","Published 17:50 on March 31, 2020  /  Last updated at 22:43 on March 31, 2020  /  ","The US Transportation and Climate Initiative’s (TCI) final Memorandum of Understanding (MOU) remains on track for completion this spring, but the coronavirus pandemic is likely to postpone the future approval of the proposed regional fuel sector cap-and-trade programme, regulatory sources said."
Trump administration finalises rollback of national vehicle CO2 standards,"Americas,US","Published 16:59 on March 31, 2020  /  Last updated at 22:39 on March 31, 2020  /  ","The US federal government released its final rule for vehicle fuel economy and emission standards on Tuesday for the next six years, a move that is estimated to increase transportation sector CO2 emissions by nearly 1 billion more tonnes compared to Obama-era regulations and setting up a legal showdown with Democrat-led states."
"Speculators opened California CITSS accounts before allowance price drop, data shows","Americas,Canada,US","Published 22:04 on March 30, 2020  /  Last updated at 22:04 on March 30, 2020  /  ","Eighteen entities opened WCI Compliance Instrument Tracking System Service (CITSS) accounts in the California carbon market during the first quarter as 16 participants closed theirs, data from state regulator ARB showed Monday."
New York moves closer to finalising post-2020 RGGI regulation during virus outbreak,"Americas,US","Published 16:39 on March 30, 2020  /  Last updated at 00:18 on March 31, 2020  /  ","New York is honing in on a draft regulation to implement post-2020 changes to the Northeast US RGGI carbon market, regulatory sources told Carbon Pulse, though state officials remain mum on when they will release the finalised proposal."
California offset registries hanging in amid COVID-19 challenges,"Americas,Canada,US,Voluntary Market","Published 15:24 on March 30, 2020  /  Last updated at 00:20 on March 31, 2020  /  ","California offset registries are not experiencing any operational delays since the outbreak of the coronavirus pandemic, though discussions are continuing on providing additional flexibility for developers of WCI-eligible credits."
"Speculators’ CCA position craters after liquidation while compliance holdings rise, data shows","Americas,Canada,US","Published 20:40 on March 27, 2020  /  Last updated at 21:00 on March 27, 2020  /  ","Speculators slashed their California Carbon Allowance (CCA) holdings for the second consecutive week as several firms were forced to liquidate positions amid fears of a global recession and spreading coronavirus pandemic, according to US Commodity Futures Trading Commission (CFTC) data."
"US EPA extends RFS compliance deadline for small refiners, citing coronavirus","Americas,RINs & LCFS,US","Published 20:26 on March 27, 2020  /  Last updated at 21:04 on March 27, 2020  /  ","The US EPA on Friday afternoon postponed next week’s deadline for small refineries to surrender biofuel credits against their Renewable Fuel Standard (RFS) obligations in light of the COVID-19 pandemic, while also addressing a recent court decision on the policy’s compliance waiver programme."
California grid experiencing shift in electricity demand amid COVID-19 outbreak,"Americas,Canada,US","Published 16:49 on March 27, 2020  /  Last updated at 16:49 on March 27, 2020  /  ","The California Independent System Operator (CAISO) is seeing a reduction in power usage due to the statewide shelter-in-place order announced last week to combat the coronavirus outbreak, likely cutting entities’ compliance obligations for the sector in the WCI-linked ETS."
ICAO may approve next round of CORSIA aviation offset applications after Art. 6 decision,"Africa,Americas,Asia Pacific,Aviation/CORSIA,Canada,China,China's Offset Market,Climate Talks,EMEA,International,Middle East,New Market Mechanisms,Other APAC,REDD,South & Central,Switzerland,US,Voluntary Market","Published 21:31 on March 26, 2020  /  Last updated at 21:31 on March 26, 2020  /  ","UN aviation body ICAO will look to endorse a second round of programme applications for its global offset system CORSIA by the end of the year, with that decision potentially occurring after countries attempt to forge the rulebook of international emissions trading under the Paris Agreement at COP26, according to an updated timeline."
"NA Markets: CCA prices sink before finding price support, RGGI dips alongside lessened activity","Americas,Canada,US","Published 21:15 on March 26, 2020  /  Last updated at 21:15 on March 26, 2020  /  ","California Carbon Allowance (CCA) prices cratered beneath the 2014 WCI floor price during the week before renewed speculative interest boosted values on the secondary market, while RGGI allowances (RGA) saw more modest week-on-week changes."
ANALYSIS: California offset developers face new challenges from coronavirus pandemic,"Americas,Canada,US","Published 16:46 on March 26, 2020  /  Last updated at 16:46 on March 26, 2020  /  ","California offsets will likely weather a short-term collapse in WCI allowance prices triggered by the COVID-19 outbreak, although the pandemic could pose new obstacles for the industry going forward, several developers told Carbon Pulse."
Argus postpones North American carbon conferences due to COVID-19,"Americas,Canada,RINs & LCFS,US","Published 16:40 on March 26, 2020  /  Last updated at 16:40 on March 26, 2020  /  ","Price reporting agency Argus Media has postponed its US and Canadian carbon and biofuel market conferences this spring due to the coronavirus pandemic, Carbon Pulse has learned."
"New York sees peak power decrease amid coronavirus outbreak, shelter-in-place orders","Americas,US","Published 21:59 on March 25, 2020  /  Last updated at 22:37 on March 25, 2020  /  ","New York’s wholesale grid operator (NYISO) is experiencing an overall reduction in electricity demand due to the COVD-19 pandemic, a trend that is likely to reduce obligations for power generators in the RGGI carbon market."
California issues 535k offsets as G-CCO discount tightens on allowance crash,"Americas,Canada,US,Voluntary Market","Published 21:58 on March 25, 2020  /  Last updated at 22:43 on March 25, 2020  /  ","California regulator ARB minted more than 535,000 new offsets this week, with another half million credits seeing their invalidation period cut to three years, according to data published Wednesday."
Virginia officials do not envision any cap revisions to proposed RGGI regulation,"Americas,US","Published 21:01 on March 25, 2020  /  Last updated at 22:46 on March 25, 2020  /  ","Virginia officials are unlikely to revise the annual ETS carbon budgets for the state’s power sector in the short term if Governor Ralph Northam (D) signs a bill implementing the existing cap-and-trade regulation into law, a state regulator said."
Mexico targets Q4 for publishing compliance offset protocols,"Americas,Canada,Mexico,US,Voluntary Market","Published 20:48 on March 25, 2020  /  Last updated at 23:00 on March 25, 2020  /  ","Mexico will aim to release offset protocols for use under its ETS in the final quarter of 2020, with several methodologies under consideration, a government official said Wednesday."
Trump administration declines to appeal decision limiting biofuel compliance waivers,"Americas,RINs & LCFS,US","Published 14:57 on March 25, 2020  /  Last updated at 23:08 on March 25, 2020  /  ","The US federal government missed a deadline on Tuesday to challenge a court’s ruling that limits the EPA’s use of Renewable Fuel Standard (RFS) compliance waivers, though refiners involved in the lawsuit will forge ahead with their own appeal."
"CORSIA offset recommendations run counter to feedback on CDM and China’s CCERs, comments show","Africa,Americas,Asia Pacific,Aviation/CORSIA,Canada,China,China's Offset Market,Climate Talks,EMEA,International,Kyoto Mechanisms,Middle East,New Market Mechanisms,Other APAC,REDD,South & Central,Switzerland,US,Voluntary Market","Published 22:07 on March 24, 2020  /  Last updated at 11:08 on March 25, 2020  /  ","ICAO should not have unconditionally accepted the CDM or China’s GHG Voluntary Emission Reduction Program to supply the pilot phase of its global aviation offset system CORSIA due to environmental integrity concerns and a lack of transparency in their applications, according to public comments released Monday."
US DOJ challenge to WCI linkage will remain in district court,"Americas,Canada,US","Published 20:23 on March 24, 2020  /  Last updated at 22:57 on March 24, 2020  /  ","The US Department of Justice (DOJ) missed a deadline to appeal a federal judge’s ruling that found the California-Quebec cap-and-trade linkage did not violate the US Constitution’s Compact or Treaty Clauses, a lawyer involved in the case said."
NA Markets: California allowance prices stretch gains despite margin hikes,"Americas,Canada,US","Published 18:43 on March 24, 2020  /  Last updated at 23:01 on March 24, 2020  /  ","California Carbon Allowance (CCA) prices rallied for a second straight day on Tuesday morning, though retraced somewhat after exchange ICE announced further margin rate increases."
LCFS Market: California prices reverse course to surge back towards $200,"Americas,RINs & LCFS,US","Published 16:33 on March 24, 2020  /  Last updated at 17:23 on March 24, 2020  /  ","California Low Carbon Fuel Standard (LCFS) prices swung back from 2018 lows this week as a result of higher demand, though some traders questioned the higher values amid the economic impacts of the COVD-19 pandemic."
NA Markets: California carbon prices rebound on renewed speculative interest after further liquidation,"Americas,Canada,US","Published 17:53 on March 23, 2020  /  Last updated at 19:17 on March 24, 2020  /  ","California Carbon Allowance (CCA) prices rebounded on Monday after crumbling below the 2014 WCI floor price in early trading, with several speculators buoying the market in response to more participants unwinding their positions."
Financial entities make first significant CCA holdings cut as pandemic fears grow -data,"Americas,Canada,US","Published 20:58 on March 20, 2020  /  Last updated at 20:58 on March 20, 2020  /  ","Speculators trimmed their California Carbon Allowance (CCA) holdings by nearly 10 million allowances earlier this week amid growing concerns about a coronavirus pandemic reducing compliance demand under the WCI-linked carbon market, according to US Commodity Futures Trading Commission (CFTC) data."
California and Quebec to offer 66.2 million allowances at May sale,"Americas,Canada,US","Published 19:22 on March 20, 2020  /  Last updated at 20:23 on March 20, 2020  /  ","The second quarterly WCI carbon auction of the year on May 20 will feature 66.2 million current and future vintage permits available for purchase, as the coronavirus pandemic and economic fallout raise concerns that the sale will be undersubscribed for the first time in three years."
NA Markets: California carbon allowances collapse below 2015 floor price on more panic selling,"Americas,Canada,US","Published 17:27 on March 20, 2020  /  Last updated at 19:17 on March 24, 2020  /  ",California Carbon Allowances (CCA) tumbled beneath $12 on Friday as rising concerns about plummeting WCI-capped emissions and higher margin rates resulting from the coronavirus outbreak forced additional selling.
NA Markets: California governor’s shelter-in-place order sinks carbon prices further,"Americas,Canada,US","Published 03:48 on March 20, 2020  /  Last updated at 19:17 on March 24, 2020  /  ","California Governor Gavin Newsom (D) issued a statewide ordered for all residents to “shelter in place” on Thursday amid the growing coronavirus pandemic, with the decision likely to reduce emissions in the state’s cap-and-trade programme."
"NA Markets: CCAs crumble as speculators unwind positions, RGGI careens to 21-mth low","Americas,Canada,US","Published 22:09 on March 19, 2020  /  Last updated at 23:16 on March 19, 2020  /  ","California Carbon Allowance (CCA) prices fell dramatically this week as financial entities unloaded positions due to growing fears of a global recession and the bearish WCI emissions impact from the coronavirus pandemic, while RGGI allowances (RGA) sank to their lowest level since mid-2018."
RFS Market: RIN prices bounce after coronavirus impacts take toll,"Americas,RINs & LCFS,US","Published 21:45 on March 19, 2020  /  Last updated at 22:37 on March 19, 2020  /  ",US biofuel credit (RIN) prices rose on Thursday after the economic impacts of the COVID-19 virus pushed prices under the Renewable Fuel Standard (RFS) to a nearly two-month low earlier this week.
"Verra seeks clarifications, changes on aviation offset restrictions under CORSIA","Africa,Americas,Asia Pacific,Aviation/CORSIA,China,China's Offset Market,Climate Talks,EMEA,International,Middle East,New Market Mechanisms,Other APAC,REDD,South & Central,Switzerland,US,Voluntary Market","Published 21:32 on March 19, 2020  /  Last updated at 22:36 on March 19, 2020  /  ",Offset standard developer and manager Verra is planning a series of alterations to its Verified Carbon Standard (VCS) project types that the ICAO Council declined to approve for use under the international aviation offset system CORSIA.
Major climate conference nixed over coronavirus,"Africa,Americas,Asia Pacific,Australia,Aviation/CORSIA,Bavardage,Canada,China,Climate Talks,EMEA,EU ETS,International,Japan,Kyoto Mechanisms,Mexico,Middle East,New Market Mechanisms,New Zealand,Other APAC,REDD,Shipping,South & Central,South Korea,Switzerland,US,Voluntary Market","Published 11:55 on March 19, 2020  /  Last updated at 11:55 on March 19, 2020  /  ",A major annual climate change conference scheduled for late May has been cancelled over the coronavirus crisis.
"NA Markets: California carbon allowances crash below $16, hits percentage low to floor price","Americas,Canada,US","Published 21:22 on March 18, 2020  /  Last updated at 19:17 on March 24, 2020  /  ","California Carbon Allowance (CCA) prices traded underneath $16.00 on Wednesday afternoon, after a wave of selling throughout the day caused front-month prices to plummet to the lowest percentage below the current WCI floor price in the scheme’s history."
"US carbon markets await power use impacts from virus pandemic, restrictions","Americas,Canada,US","Published 18:19 on March 18, 2020  /  Last updated at 14:50 on March 27, 2020  /  ","Electricity demand is shifting in numerous power markets operating in the US’ two cap-and-trade programmes due to the coronavirus pandemic, but grid operators said it is too early to determine the exact impact of more employees working from home and government-imposed travel restrictions."
UPDATE – LCFS Market: California prices unwind further as corona fears consolidate,"Americas,RINs & LCFS,US","Published 16:54 on March 18, 2020  /  Last updated at 22:14 on March 18, 2020  /  ",California Low Carbon Fuel Standard (LCFS) credit prices took on significant losses Wednesday as the spread of the COVID-19 coronavirus roiled the transportation sector programme.
NA Markets: California carbon breaches floor price for first time since 2017,"Americas,Canada,US","Published 15:47 on March 17, 2020  /  Last updated at 19:17 on March 24, 2020  /  ","California Carbon Allowances (CCAs) traded underneath the current WCI floor price for the first time in nearly three years on Tuesday, as participants continued to see the growing coronavirus pandemic and resulting economic turmoil as bearish drivers on the joint cap-and-trade programme."
LCFS Market: California credits fall below $200 amid economic stressors,"Americas,RINs & LCFS,US","Published 14:50 on March 17, 2020  /  Last updated at 15:56 on March 17, 2020  /  ","California Low Carbon Fuel Standard (LCFS) prices dropped markedly on Monday, finally succumbing to the impacts of the coronavirus pandemic and changes in the global economy."
"Oregon governor has authority to roll out cap-and-trade scheme, state DOJ finds","Americas,Canada,US","Published 21:40 on March 16, 2020  /  Last updated at 21:40 on March 16, 2020  /  ","Oregon can implement an ETS on direct and indirect sources of emissions using existing legislative authority, the state’s Department of Justice (DOJ) concluded, though its legal analysis did not address whether state-run auctions could occur."
Airlines’ CORSIA offset requirements could skew lower with flexibility provision -analysis,"Africa,Americas,Asia Pacific,Aviation/CORSIA,Canada,China,China's Offset Market,Climate Talks,EMEA,International,Middle East,New Market Mechanisms,Other APAC,REDD,South & Central,Switzerland,US,Voluntary Market","Published 21:17 on March 16, 2020  /  Last updated at 22:07 on March 16, 2020  /  ","A flexibility mechanism built into the global aviation offset programme CORSIA could dampen carbon credit obligations during the scheme’s pilot phase to address coronavirus-related impacts on the emission baseline, eliminating the need for any changes to the underlying ICAO resolution, according to a green group’s analysis."
"NA Markets: CCAs, RGAs plummet in early-morning trading amid global slowdown fears","Americas,Canada,US","Published 14:36 on March 16, 2020  /  Last updated at 15:54 on March 16, 2020  /  ",California Carbon Allowance (CCA) and RGGI Allowance (RGA) prices dove on Monday morning after the US Federal Reserve announced further rate cuts to bolster the stock market as the coronavirus pandemic spread across North America.
"UN approves six offset programmes, vintage restrictions for CORSIA aviation scheme","Africa,Americas,Asia Pacific,Aviation/CORSIA,Canada,China,China's Offset Market,Climate Talks,EMEA,International,Kyoto Mechanisms,Middle East,New Market Mechanisms,Other APAC,REDD,South & Central,Switzerland,US,Voluntary Market","Published 19:03 on March 13, 2020  /  Last updated at 00:17 on March 14, 2020  /  ","The ICAO Council on Friday endorsed six programmes in full and two others on a conditional basis to supply the UN body’s CORSIA international aviation offset mechanism, with eligible carbon credits initially restricted to a five-year window."
First RGGI auction of 2020 clears at 2-cent discount on New Jersey’s return,"Americas,US","Published 14:37 on March 13, 2020  /  Last updated at 19:17 on March 24, 2020  /  ",The first RGGI auction of 2020 cleared in line with market expectations as New Jersey returned to the regional cap-and-trade programme eight years after the state left the power sector ETS.
"Washington LCFS, Clean Air Rule bills flounder on Senate opposition","Americas,Canada,RINs & LCFS,US","Published 21:55 on March 12, 2020  /  Last updated at 21:55 on March 12, 2020  /  ","Legislation to implement a Washington state low-carbon fuel standard (LCFS) and extend the market-based Clean Air Rule (CAR) to fuel suppliers will not pass in the 2020 session because the Senate does not have the votes to approve the policies, the sponsor of the bills told Carbon Pulse."
"NA Markets: WCI prices crater on recession and coronavirus fears, as RGAs fall before auction results","Americas,Canada,US","Published 21:38 on March 12, 2020  /  Last updated at 21:38 on March 12, 2020  /  ","California Carbon Allowance (CCA) prices plunged to a nearly one-year low this week as the unravelling stock market and spreading COVID-19 virus stoked fears of a global recession, while RGGI allowances (RGAs) saw more modest drops ahead of Q1 auction results."
"Judge hands California early victory in ETS linkage suit, two challenges remain","Americas,Canada,US","Published 19:36 on March 12, 2020  /  Last updated at 19:17 on March 24, 2020  /  ","A federal judge on Thursday ruled California’s ETS linkage with Quebec does not violate the US Constitution’s Treaty and Compact Clauses, but the court did not rule on two remaining legal challenges brought by the Department of Justice (DOJ)."
RFS Market: RIN prices plummet as coronavirus impacts weigh,"Americas,RINs & LCFS,US","Published 16:37 on March 12, 2020  /  Last updated at 16:47 on March 12, 2020  /  ",US biofuel credit (RIN) prices under the Renewable Fuel Standard tumbled on Thursday as the global macroeconomic impacts of the COVID-19 coronavirus exerted bearish pressure on the market.
California offset issuance hits 2020 high on forestry project strength,"Americas,Canada,Mexico,US,Voluntary Market","Published 21:22 on March 11, 2020  /  Last updated at 00:00 on March 12, 2020  /  ","California Carbon Offset (CCO) issuance attained the highest level so far this year as four existing forestry projects helped boost supply this week under the state’s WCI-linked ETS, according to data published Wednesday."
"LCFS price cap expected at $218, CCA floor trending towards $18","Americas,Canada,RINs & LCFS,US","Published 14:21 on March 11, 2020  /  Last updated at 00:14 on March 12, 2020  /  ","California regulator ARB should set the state’s pending Low Carbon Fuel Standard (LCFS) maximum price at just under $218 this year, while the current US inflation figure would place the state’s WCI 2021 auction reserve value close to the $18 level, according to federal data published Wednesday."
"Oregon governor to set declining GHG caps, strengthen LCFS after Republican legislative walkout","Americas,Canada,RINs & LCFS,US","Published 19:14 on March 10, 2020  /  Last updated at 23:27 on March 10, 2020  /  ","Oregon Governor Kate Brown (D) signed an executive order Tuesday to set a declining emissions cap for several sectors, double the state’s Clean Fuels Program (OCFP) target, and boost energy efficiency goals after the legislature failed to pass a cap-and-trade bill for the second straight year."
ANALYSIS: RGGI traders see Q1 auction sticking close to market as New Jersey joins,"Americas,US","Published 16:07 on March 10, 2020  /  Last updated at 23:37 on March 10, 2020  /  ","RGGI market participants anticipate the first quarterly sale of 2020 this week will largely mirror past trends and align with the secondary market price, despite the inclusion of New Jersey in the Northeast US ETS for the first time in eight years."
"Palm oil, soy boom to skyrocket global GHG emissions -report","Americas,Asia Pacific,Aviation/CORSIA,International,Other APAC,RINs & LCFS,South & Central,US","Published 10:22 on March 10, 2020  /  Last updated at 10:27 on March 10, 2020  /  ","A demand boom in palm oil and soy driven by Brazil, Indonesia, and possibly the international aviation sector, could spur enough deforestation to emit 11.5 billion tonnes of CO2e to 2030, a report published Tuesday said."
"Judge may wait on remaining ETS linkage challenges as DOJ, California lay out first arguments","Americas,Canada,US","Published 03:24 on March 10, 2020  /  Last updated at 23:48 on March 11, 2020  /  ","The US Department of Justice and California attorneys faced scrutiny from a federal judge on Monday during the first court hearing on a case that could decide the legality of the WCI ETS linkage with Quebec, but a ruling might not be made until the remaining issues are litigated."
Oregon governor to announce climate policy via executive order,"Americas,Canada,US","Published 21:42 on March 9, 2020  /  Last updated at 23:33 on March 11, 2020  /  ","Oregon Governor Kate Brown (D) will announce an executive order on Tuesday to implement a carbon reduction programme after a Republican walkout thwarted Democrats’ ability to pass a cap-and-trade bill for the second straight year, a state legislator told Carbon Pulse."
North American Carbon World conference cancelled on coronavirus caution,"Americas,Aviation/CORSIA,Canada,Climate Talks,International,Mexico,REDD,RINs & LCFS,South & Central,US,Voluntary Market","Published 20:14 on March 9, 2020  /  Last updated at 21:15 on March 9, 2020  /  ","This year’s North American Carbon World (NACW) conference in San Francisco has been cancelled due to mounting concerns over the COVID-19 coronavirus, California-based offset registry Climate Action Reserve (CAR) announced Monday."
UPDATE – Trump administration receives extension to consider appeal of biofuel waiver ruling,"Americas,RINs & LCFS,US","Published 15:23 on March 9, 2020  /  Last updated at 20:48 on March 9, 2020  /  ",The US Department of Justice (DOJ) on Monday secured its request for more time to consider an appeal on a court ruling that may restrict the EPA’s use of compliance waivers under the Renewable Fuel Standard (RFS) going forward.
"EU Market: Carbon recovers after tumbling as oil markets crater, coronavirus crisis worsens","Americas,Canada,EMEA,EU ETS,US","Published 00:14 on March 9, 2020  /  Last updated at 13:11 on March 10, 2020  /  ","European carbon prices tumbled on Monday to their lowest in five months as crude oil crashed and wider financial markets plummeted, though EUAs recovered throughout the day to end near Friday’s close."
"US Carbon Pricing Roundup for week ending Mar. 6, 2020","Americas,Carbon Taxes,RINs & LCFS,US","Published 19:42 on March 6, 2020  /  Last updated at 19:42 on March 6, 2020  /  ","A summary of legislative and regulatory action on carbon pricing and clean energy at the US subnational and federal level this week, including developments in Washington, New York, and Hawaii."
"WCI lawsuit ruling could also threaten RGGI, other state initiatives, experts say","Americas,Canada,International,US","Published 17:25 on March 6, 2020  /  Last updated at 17:39 on March 6, 2020  /  ","A ruling in favour of the Trump administration’s challenge of the California-Quebec ETS linkage could endanger the status of countless US state compacts, including the RGGI power sector carbon market, if the case arrives at the Supreme Court, legal experts said."
Virginia Democrats reconcile legislation to implement state-run RGGI auctions,"Americas,US","Published 16:36 on March 6, 2020  /  Last updated at 17:06 on March 6, 2020  /  ","Virginia Democrats agreed final revisions to legislation to allow the state to implement its RGGI-modelled carbon market regulation with state-run allowance auctions, putting it on the path to final approval."
"Oregon Republicans’ ETS walkout ends 2020 session, as governor plans executive action","Americas,Canada,US","Published 23:38 on March 5, 2020  /  Last updated at 23:54 on March 5, 2020  /  ","Oregon’s Democrat leaders closed the legislative term on Thursday after the Republican minority fled the capitol to protest a WCI-modelled cap-and-trade bill, but Governor Kate Brown (D) is now finalising executive action to enact climate policy."
NA Markets: CCA prices retrace after WCI auction as RGGI continues decline,"Americas,Canada,US","Published 22:46 on March 5, 2020  /  Last updated at 22:46 on March 5, 2020  /  ","California Carbon Allowance (CCA) prices regressed this week after the Q1 WCI auction bucked previous trends to settle above the secondary market level, while RGGI Allowances (RGAs) dropped ahead of the Northeast US carbon market’s first sale of 2020."
"BRIEFING: The long, inevitable road towards an EU border carbon adjustment","Americas,Carbon Taxes,China,EMEA,EU ETS,International,New Market Mechanisms,US","Published 05:00 on March 5, 2020  /  Last updated at 10:18 on March 6, 2020  /  ","Border carbon adjustments will become necessary and inevitable as the world advances toward decarbonisation, a group of academics told UK lawmakers on Wednesday, highlighting that implementing these divisive policies could give Britain a post-Brexit competitive advantage."
California refutes DOJ arguments ahead of critical ETS linkage hearing,"Americas,Canada,US","Published 23:31 on March 4, 2020  /  Last updated at 23:31 on March 4, 2020  /  ","The US Department of Justice’s (DOJ) Constitutionally-based arguments against the California-Quebec carbon market linkage would vastly expand the government’s authority while presenting little legal precedent to do so, state officials wrote this week."
World Bank buys 4.2 mln methane offsets in fourth PAF auction,"Africa,Americas,Asia Pacific,China,EMEA,International,Kyoto Mechanisms,New Market Mechanisms,Other APAC,South & Central,US,Voluntary Market","Published 22:18 on March 4, 2020  /  Last updated at 22:18 on March 4, 2020  /  ","The fourth sale held by the World Bank’s Pilot Auction Facility (PAF) resulted in the procurement of 4.2 million tonnes of methane offsets, the bank announced Wednesday."
"California diesel consumption drops in November, as fuel sector emissions remain under 2018 levels","Americas,Canada,US","Published 21:07 on March 4, 2020  /  Last updated at 21:07 on March 4, 2020  /  ","California fuel consumption sagged further below the previous year’s total as diesel demand declined in November, likely cutting ETS-covered emissions compared to 2018, state data published this week suggested."
UPDATE – RFS Market: RINs extend fall as EPA chief talks market stabilisation measures,"Americas,RINs & LCFS,US","Published 17:50 on March 4, 2020  /  Last updated at 21:16 on March 4, 2020  /  ",US biofuel credit (RIN) values continued to retrace on Wednesday as EPA Administrator Andrew Wheeler said the agency was looking at strategies to limit price volatility under the Renewable Fuel Standard (RFS).
Three New York state facilities miss 2019 RGGI interim compliance deadline,"Americas,US","Published 21:11 on March 3, 2020  /  Last updated at 22:52 on March 3, 2020  /  ","A trio of New York-based power generators regulated by the Northeast US RGGI cap-and-trade system failed to surrender enough allowances to meet their interim 2019 obligations, including the Empire State’s last two coal-fired facilities that are in the process of shutting down, according to public data released Tuesday."
UPDATE – LCFS Market: California prices reverse slide on year-end covering,"Americas,RINs & LCFS,US","Published 20:29 on March 3, 2020  /  Last updated at 21:54 on March 3, 2020  /  ","California Low Carbon Fuel Standard (LCFS) prices received a jolt to start the week as a company reportedly was short covering for the final quarter of 2019, halting a month-long regression in credit values."
UN panel backs offset vintage restrictions for CORSIA global aviation scheme -sources,"Africa,Americas,Asia Pacific,Aviation/CORSIA,Canada,China's Offset Market,Climate Talks,EMEA,International,Kyoto Mechanisms,New Market Mechanisms,REDD,US,Voluntary Market","Published 18:48 on March 3, 2020  /  Last updated at 14:32 on March 4, 2020  /  ","UN aviation body ICAO should initially restrict carbon credits eligible for its CORSIA international offset mechanism to those generated during a five-year window, an expert panel has recommended, according to two sources close to the process."
California offset task force may recommend amending existing protocols,"Americas,Canada,US,Voluntary Market","Published 00:46 on March 3, 2020  /  Last updated at 00:50 on March 3, 2020  /  ","The California Compliance Offset Protocol Task Force (OPTF) may provide guidance on altering existing methodologies in addition to developing new ones, state regulator ARB confirmed Monday, as the expert committee began its work to increase the supply of in-state credits under the state’s carbon market."
"ETS harmonisation, integrity key to future TCI cap-and-trade system -stakeholders","Americas,Canada,US","Published 21:22 on March 2, 2020  /  Last updated at 21:22 on March 2, 2020  /  ","Stakeholders requested a variety of changes to the US Transportation and Climate’s Initiative (TCI) draft Memorandum of Understand (MOU) to better align the proposed regional fuel sector ETS with existing North American carbon markets and improve environmental integrity and equity, according to public comments."
"US Carbon Pricing Roundup for week ending Feb. 28, 2020","Americas,Aviation/CORSIA,Carbon Taxes,US,Voluntary Market","Published 21:49 on February 28, 2020  /  Last updated at 21:49 on February 28, 2020  /  ","A summary of legislative and regulatory action on carbon pricing and clean energy at the US subnational and federal level this week, including developments in California, Hawaii, Virginia, and a net zero agriculture bill in the US House of Representatives that favours carbon markets."
Washington’s Puget Sound to further evaluate comments on regional LCFS,"Americas,RINs & LCFS,US","Published 21:24 on February 28, 2020  /  Last updated at 21:24 on February 28, 2020  /  ","Washington’s Puget Sound Clean Air Agency (PSCAA) delayed decisions on advancing a low-carbon fuel standard (LCFS) for the greater Seattle area on Thursday, as a statewide clean fuel standard bill is primed for a critical hearing next week."
"Judge keeps WCI, California agency heads in Trump administration ETS lawsuit","Americas,Canada,US","Published 21:16 on February 28, 2020  /  Last updated at 21:16 on February 28, 2020  /  ","A federal judge this week denied California’s request to drop WCI, Inc. and the leaders of two state agencies from the US Department of Justice’s (DOJ) legal challenge of the state’s cap-and-trade linkage with Quebec, though he did remove two non-voting board members of the non-profit market administrator from the case."
